UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","",PREKENTEKST ,"","","","",INSTITUSJON ,SAMTALER ,MØTER ,KONSERTER ,OPPLÆRING ,"",""
"",27 ,"",14.30-18.15: ,"",10.30: ,"",12: ,17: BMS ,"",16.45-17.45: ,"",11: ,""
"","","",Konf.underv. ,"",Kirkebesøk ,"",Helsehuset ,TOJ ,"",Øv-Aspirantkor ,"",Åpen dag ,""
"","","",Kristine/IB ,"",Sonja/MK/ ,"",Nattverd ,"","",Ingunn ,"",Margaretha ,""
"","","","","",Ingunn/Katja ,"",MK/Jan ,"","",18-20: ,"","",""
"","","","","","","","","","",Øv-Barnekant. ,"","",""
"","","","","","","","","","",Kristin/Jan ,"","",""
"",28 ,"","",15-16.45: ,"","",12.15 ,"",09: ,"",11: Babysang ,"",""
"","","","",Konf.underv. ,"","",Bjønnesåsen ,"",S/F ,"",Torød ,"",""
"","","","",Kristine/KOS ,"","",KOS/ Wenche ,"",Sonja/Jan ,"",Sonja/Anette ,"",""
"",29 ,"","","","","","","","",16-17.30: ,"","",""
"","","","","","","","","","",Øv-Ungd.kant. ,"","",""
"","","","","","","","","","",Kristin/Ingunn ,"","",""
"","","","","","","","","","",18.15-19.45: ,"","",""
"","","","","","","","","","",Øv-Guttekoret ,"","",""
"","","","","","","","","","",Kristin/Ingunn ,"","",""
"","","","","","","","","","",19.15-21.45: ,"","",""
"","","","","","","","","","",Øv-Kammerkor ,"","",""
"","","","","","","","","","",Jan/Wenche ,"","",""
"",30 ,"","","",Alpha- ,"",10.30: ,"","","",Alpha- ,"",""
"","","","","",bohjemmeleir ,"",Ekeberg ,"","","",bohjemmeleir ,"",""
"","","","","","","",KOS/Ingunn ,"","","",Torød ,"",""
"",31 ,Reformasjonsdag ,"","",Alpha- ,"","","","","",Alpha- ,"",""
"","","","","",bohjemmeleir ,"","","","","",bohjemmeleir ,"",""
"","","","","","","","","","","",Torød ,"",""
"",32 ,"","","","","","","","","","" ,"",""
